"Dates","OpenFrom","OpenTo"
2014-04-01,"09:00:00","19:00:00"
2014-04-02,"09:00:00","19:00:00"
2014-04-03,"09:00:00","19:00:00"
2014-04-04,"09:00:00","19:00:00"
2014-04-05,"09:00:00","18:00:00"
2014-04-06,"00:00:00","00:00:00"
2014-04-07,"09:00:00","19:00:00"
2014-04-08,"09:00:00","19:00:00"
2014-04-09,"09:00:00","19:00:00"
2014-04-10,"09:00:00","19:00:00"
2014-04-11,"09:00:00","19:00:00"
2014-04-12,"09:00:00","18:00:00"
2014-04-13,"00:00:00","00:00:00"
2014-04-14,"09:00:00","19:00:00"
2014-04-15,"09:00:00","19:00:00"
2014-04-16,"09:00:00","19:00:00"
2014-04-17,"09:00:00","19:00:00"
2014-04-18,"09:00:00","19:00:00"
2014-04-19,"09:00:00","18:00:00"
2014-04-20,"00:00:00","00:00:00"
2014-04-21,"09:00:00","19:00:00"
2014-04-22,"09:00:00","19:00:00"
2014-04-23,"09:00:00","19:00:00"
2014-04-24,"09:00:00","19:00:00"
2014-04-25,"09:00:00","19:00:00"
2014-04-26,"09:00:00","18:00:00"
2014-04-27,"00:00:00","00:00:00"
2014-04-28,"09:00:00","19:00:00"
2014-04-29,"09:00:00","19:00:00"
2014-04-30,"09:00:00","19:00:00"
2014-05-01,"09:00:00","19:00:00"
2014-05-02,"09:00:00","19:00:00"
2014-05-03,"09:00:00","18:00:00"
2014-05-04,"00:00:00","00:00:00"
2014-05-05,"09:00:00","19:00:00"
2014-05-06,"09:00:00","19:00:00"
2014-05-07,"09:00:00","19:00:00"
2014-05-08,"09:00:00","19:00:00"
2014-05-09,"09:00:00","19:00:00"
2014-05-10,"09:00:00","18:00:00"
2014-05-11,"00:00:00","00:00:00"
2014-05-12,"09:00:00","19:00:00"
2014-05-13,"09:00:00","19:00:00"
2014-05-14,"09:00:00","19:00:00"
2014-05-15,"09:00:00","19:00:00"
2014-05-16,"09:00:00","19:00:00"
2014-05-17,"09:00:00","18:00:00"
2014-05-18,"00:00:00","00:00:00"
2014-05-19,"09:00:00","19:00:00"
2014-05-20,"09:00:00","19:00:00"
2014-05-21,"09:00:00","19:00:00"
2014-05-22,"09:00:00","19:00:00"
2014-05-23,"09:00:00","19:00:00"
2014-05-24,"09:00:00","18:00:00"
2014-05-25,"00:00:00","00:00:00"
2014-05-26,"09:00:00","19:00:00"
2014-05-27,"09:00:00","19:00:00"
2014-05-28,"09:00:00","19:00:00"
2014-05-29,"09:00:00","19:00:00"
2014-05-30,"09:00:00","19:00:00"
2014-05-31,"09:00:00","18:00:00"
2014-06-01,"00:00:00","00:00:00"
2014-06-02,"09:00:00","19:00:00"
2014-06-03,"09:00:00","19:00:00"
2014-06-04,"09:00:00","19:00:00"
2014-06-05,"09:00:00","19:00:00"
2014-06-06,"09:00:00","19:00:00"
2014-06-07,"09:00:00","18:00:00"
2014-06-08,"00:00:00","00:00:00"
2014-06-09,"09:00:00","19:00:00"
2014-06-10,"09:00:00","19:00:00"
2014-06-11,"09:00:00","19:00:00"
2014-06-12,"09:00:00","19:00:00"
2014-06-13,"09:00:00","19:00:00"
2014-06-14,"09:00:00","18:00:00"
2014-06-15,"00:00:00","00:00:00"
2014-06-16,"09:00:00","19:00:00"
2014-06-17,"09:00:00","19:00:00"
2014-06-18,"09:00:00","19:00:00"
2014-06-19,"09:00:00","19:00:00"
2014-06-20,"09:00:00","19:00:00"
2014-06-21,"09:00:00","18:00:00"
2014-06-22,"00:00:00","00:00:00"
2014-06-23,"09:00:00","19:00:00"
2014-06-24,"09:00:00","19:00:00"
2014-06-25,"09:00:00","19:00:00"
2014-06-26,"09:00:00","19:00:00"
2014-06-27,"09:00:00","19:00:00"
2014-06-28,"09:00:00","18:00:00"
2014-06-29,"00:00:00","00:00:00"
2014-06-30,"09:00:00","19:00:00"
2014-07-01,"09:00:00","19:00:00"
2014-07-02,"09:00:00","19:00:00"
2014-07-03,"09:00:00","19:00:00"
2014-07-04,"09:00:00","19:00:00"
2014-07-05,"09:00:00","18:00:00"
2014-07-06,"00:00:00","00:00:00"
2014-07-07,"09:00:00","19:00:00"
2014-07-08,"09:00:00","19:00:00"
2014-07-09,"09:00:00","19:00:00"
2014-07-10,"09:00:00","19:00:00"
2014-07-11,"09:00:00","19:00:00"
2014-07-12,"09:00:00","18:00:00"
2014-07-13,"00:00:00","00:00:00"
2014-07-14,"09:00:00","19:00:00"
2014-07-15,"09:00:00","19:00:00"
2014-07-16,"09:00:00","19:00:00"
2014-07-17,"09:00:00","19:00:00"
2014-07-18,"09:00:00","19:00:00"
2014-07-19,"09:00:00","18:00:00"
2014-07-20,"00:00:00","00:00:00"
2014-07-21,"09:00:00","19:00:00"
2014-07-22,"09:00:00","19:00:00"
2014-07-23,"09:00:00","19:00:00"
